StNo,Station,Passgrs,Latit,Longit,RailCo,Line
652,稲城,19758,35.63596,139.49922500000002,京王電鉄,相模原線
653,稲城長沼,13154,35.644275,139.50261,東日本旅客鉄道,南武線
654,稲毛,98944,35.637035,140.09276,東日本旅客鉄道,総武線
655,稲毛海岸,42224,35.629459999999995,140.074585,東日本旅客鉄道,京葉線
656,稲田堤,46404,35.63341,139.535935,東日本旅客鉄道,南武線
657,穴守稲荷,13366,35.550265,139.746935,京浜急行電鉄,空港線
658,立会川,17012,35.598505,139.738945,京浜急行電鉄,本線
659,立川,311736,35.697931000000004,139.41475499999996,東日本旅客鉄道,青梅線
660,立川北,18745,35.699525,139.412665,多摩都市モノレール,多摩都市モノレール線
661,立川南,14717,35.696169999999995,139.412575,多摩都市モノレール,多摩都市モノレール線
662,立飛,1624,35.71427,139.41707,多摩都市モノレール,多摩都市モノレール線
663,竹ノ塚,72407,35.79437,139.79072,東武鉄道,伊勢崎線
664,竹橋,50101,35.69044,139.75767000000002,東京地下鉄,5号線東西線
665,竹芝,4133,35.654065,139.762015,ゆりかもめ,東京臨海新交通臨海線
666,笹塚,72830,35.67366,139.667175,京王電鉄,京王線
667,等々力,28901,35.60837,139.64796,東京急行電鉄,大井町線
668,築地,68659,35.6685,139.77321,東京地下鉄,2号線日比谷線
669,築地市場,23820,35.66496,139.76675,東京都,12号線大江戸線
670,篠崎,34260,35.70612,139.903885,東京都,10号線新宿線
671,糀谷,22369,35.55445,139.72959,京浜急行電鉄,空港線
672,経堂,70965,35.6515,139.63774999999998,小田急電鉄,小田原線
673,綱島,96672,35.536815000000004,139.634795,東京急行電鉄,東横線
674,綾瀬,467716,35.762225,139.82491249999998,東日本旅客鉄道,常磐線
675,練馬,185699,35.73778,139.6544725,東京都,12号線大江戸線
676,練馬春日町,19217,35.751360000000005,139.64076,東京都,12号線大江戸線
677,練馬高野台,25068,35.740615000000005,139.616835,西武鉄道,池袋線
678,羽田空港国内線ターミナル,70712,35.549409999999995,139.78523,京浜急行電鉄,空港線
679,羽田空港国際線ターミナル,12202,35.544979999999995,139.7670665,京浜急行電鉄,空港線
680,羽田空港国際線ビル,6130,35.543574,139.768833,東京モノレール,東京モノレール羽田線
681,羽田空港第1ビル,27645,35.54951,139.784355,東京モノレール,東京モノレール羽田線
682,羽田空港第2ビル,32345,35.550795,139.78820000000002,東京モノレール,東京モノレール羽田線
683,習志野,12876,35.715374999999995,140.042795,新京成電鉄,新京成線
684,聖蹟桜ヶ丘,65164,35.65072,139.44643,京王電鉄,京王線
685,自由が丘,143303,35.607145,139.66873750000002,東京急行電鉄,東横線
686,舎人,5689,35.80572,139.77013499999998,東京都,日暮里・舎人線
687,舎人公園,3514,35.796665000000004,139.77012,東京都,日暮里・舎人線
688,舞浜,127796,35.636160000000004,139.88371999999998,東日本旅客鉄道,京葉線
689,船の科学館,3235,35.621575,139.773115,ゆりかもめ,東京臨海新交通臨海線
690,船堀,57279,35.683785,139.863855,東京都,10号線新宿線
691,船橋,378787,35.7019025,139.98467,東武鉄道,野田線
692,船橋日大前,15815,35.727244999999996,140.060075,東葉高速鉄道,東葉高速線
693,船橋法典,33720,35.729929999999996,139.96701,東日本旅客鉄道,武蔵野線
694,船橋競馬場,18500,35.68984,139.997505,京成電鉄,本線
695,芝公園,26544,35.654135,139.749825,東京都,6号線三田線
696,芝浦ふ頭,4843,35.64222,139.75787,ゆりかもめ,東京臨海新交通臨海線
697,芦花公園,13810,35.670645,139.60892,京王電鉄,京王線
698,花小金井,53099,35.726145,139.51332,西武鉄道,新宿線
699,花月園前,6311,35.500325000000004,139.67286000000001,京浜急行電鉄,本線
700,若松河田,29700,35.699164999999994,139.718185,東京都,12号線大江戸線
701,若葉台,23402,35.619365,139.47234,京王電鉄,相模原線
702,茅場町,117262,35.680037500000005,139.7794975,東京地下鉄,5号線東西線
703,茗荷谷,69497,35.7172,139.736895,東京地下鉄,4号線丸ノ内線
704,草加,80993,35.82838,139.80345499999999,東武鉄道,伊勢崎線
705,荏原中延,12730,35.609899999999996,139.71203,東京急行電鉄,池上線
706,荏原町,16568,35.603809999999996,139.707545,東京急行電鉄,大井町線
707,荒川一中前,1175,35.733689999999996,139.788805,東京都,荒川線
708,荒川七丁目,969,35.742000000000004,139.784045,東京都,荒川線
709,荒川二丁目,1223,35.738600000000005,139.78469,東京都,荒川線
710,荒川区役所前,2197,35.735365,139.78601,東京都,荒川線
711,荒川車庫前,3864,35.75086,139.752805,東京都,荒川線
712,荒川遊園地前,2643,35.750645,139.75758,東京都,荒川線
713,荻窪,240174,35.7043025,139.6200025,東日本旅客鉄道,中央線
714,菅野,4101,35.728275,139.919395,京成電鉄,本線
715,菊名,233330,35.51029,139.6302475,東日本旅客鉄道,横浜線
716,萩山,10323,35.74043,139.4773,西武鉄道,拝島線
717,落合南長崎,22875,35.723055,139.68369,東京都,12号線大江戸線
718,葛西,97394,35.66355,139.87374499999999,東京地下鉄,5号線東西線
719,葛西臨海公園,23288,35.64417,139.861485,東日本旅客鉄道,京葉線
720,蒔田,16792,35.43031,139.61052999999998,横浜市,1号線
721,蒲生,17031,35.86689,139.791765,東武鉄道,伊勢崎線
722,蒲田,420629,35.561965,139.71504333333334,東日本旅客鉄道,東海道線
723,蓮根,16618,35.784054999999995,139.67906,東京都,6号線三田線
724,蓮沼,7447,35.563959999999994,139.7086,東京急行電鉄,池上線
725,蓮田,41842,35.981165000000004,139.652965,東日本旅客鉄道,東北線
726,蔵前,61689,35.7041725,139.79179249999999,東京都,12号線大江戸線
727,蕨,114952,35.82793,139.690415,東日本旅客鉄道,東北線
728,薬園台,14185,35.7091,140.03670499999998,新京成電鉄,新京成線
729,藤の牛島,7216,35.980335,139.77807,東武鉄道,野田線
730,虎ノ門,105392,35.670159999999996,139.75012,東京地下鉄,3号線銀座線
731,行徳,52899,35.682424999999995,139.91395,東京地下鉄,5号線東西線
732,表参道,150569,35.665108333333336,139.71175000000002,東京地下鉄,11号線半蔵門線
733,西ヶ原,6469,35.745945,139.74226,東京地下鉄,7号線南北線
734,西ヶ原四丁目,2782,35.744235,139.732685,東京都,荒川線
735,西千葉,46414,35.62226,140.103655,東日本旅客鉄道,総武線
736,西台,24928,35.78708,139.67268,東京都,6号線三田線
737,西国分寺,53608,35.69983,139.46621,東日本旅客鉄道,武蔵野線
738,西国立,18876,35.69379,139.423905,東日本旅客鉄道,南武線
739,西大井,29486,35.600985,139.72129999999999,東日本旅客鉄道,東海道線
740,西大島,25910,35.689345,139.826765,東京都,10号線新宿線
741,西太子堂,723,35.64452,139.66635,東京急行電鉄,世田谷線
